path,category_guess,lines,includes,gl_calls,gl_raw_refs,gl_call_exprs,gl_known_false_refs,gGL,LLGL,LLRender,LLPipeline,LLDrawPool,LLRenderTarget,LLImageGL,LLViewerTexture,LLViewerWindow
indra/llrender/llglcontainment.cpp,render.legacy_low_level,1140,3,160,161,160,0,0,321,0,0,0,0,0,0,0
indra/llrender/llgl.cpp,render.legacy_low_level,2948,20,0,2134,0,0,31,164,9,0,0,0,2,0,2
indra/llrender/llglheaders.h,render.legacy_low_level,1076,16,0,762,0,0,0,1,0,0,0,0,0,0,0
indra/llrender/llgl.h,render.legacy_low_level,485,15,0,24,0,0,0,63,0,0,0,0,0,0,0
indra/llrender/llimagegl.cpp,render.legacy_low_level,2841,13,0,13,0,0,32,81,3,0,0,0,123,0,0
indra/llrender/llpostprocess.cpp,render.legacy_low_level,474,8,0,7,0,0,18,16,4,0,0,0,5,0,0
indra/llrender/llshadermgr.cpp,render.legacy_low_level,1564,11,0,7,0,0,0,60,0,0,0,0,0,0,0
indra/llrender/llvertexbuffer.cpp,render.legacy_low_level,1966,14,0,5,0,0,33,22,6,0,0,0,2,0,0
indra/llui/llui.cpp,unknown,764,33,0,4,4,4,0,0,2,0,0,0,0,0,0
indra/newview/llviewerjointmesh.cpp,render.draw_pool,532,26,0,3,0,0,12,4,2,0,4,0,0,0,0
indra/newview/llviewershadermgr.h,render.opengl_touching,340,3,0,2,0,2,0,135,0,0,0,0,0,0,0
indra/llprimitive/llgltfmaterial.cpp,render.opengl_touching,957,5,0,2,0,2,0,80,0,0,0,0,0,0,0
indra/newview/marefsr2upscaler.h,render.opengl_touching,104,2,0,2,0,0,0,20,0,0,0,5,0,0,0
indra/llwindow/llwindowwin32.cpp,render.opengl_touching,5208,40,0,2,2,2,0,2,2,0,0,0,0,0,0
indra/newview/app_settings/shaders/class1/deferred/pbrterrainF.glsl,assets.texture,440,0,0,2,0,2,0,0,0,0,0,0,0,1,0
indra/newview/llfilepicker.cpp,viewer.misc,1834,13,0,2,1,2,0,0,0,0,0,0,0,0,0
indra/llui/llui.h,unknown,476,15,0,2,2,2,0,0,0,0,0,0,0,0,0
indra/llwindow/llwindowmacosx-objc.h,unknown,187,6,0,2,0,2,0,0,0,0,0,0,0,0,0
indra/newview/app_settings/shaders/class1/deferred/textureUtilV.glsl,assets.texture,185,0,0,2,0,2,0,0,0,0,0,0,0,0,0
indra/llrender/llrender2dutils.cpp,render.legacy_low_level,1872,14,0,1,0,0,577,3,33,0,0,2,0,0,0
indra/newview/lldrawpoolterrain.cpp,render.pipeline,1124,24,0,1,0,1,189,85,31,1,30,0,0,22,0
indra/newview/llselectmgr.cpp,render.pipeline,9001,71,0,1,0,1,68,51,14,1,0,0,0,3,0
indra/llrender/llcubemap.cpp,render.legacy_low_level,346,13,0,1,0,0,21,4,4,0,0,0,6,0,0
indra/newview/llfetchedgltfmaterial.cpp,render.pipeline,265,8,0,1,0,1,0,16,0,2,0,0,0,4,0
indra/newview/llscenemonitor.h,assets.texture,130,6,0,1,0,1,0,1,0,0,0,5,0,2,0
indra/newview/app_settings/shaders/class2/interface/irradianceGenF.glsl,viewer.misc,215,0,0,1,0,1,0,0,0,0,0,0,0,0,0
indra/newview/app_settings/shaders/class1/interface/radianceGenF.glsl,viewer.misc,170,0,0,1,0,1,0,0,0,0,0,0,0,0,0
indra/newview/pipeline.cpp,render.pipeline,12043,98,0,0,0,0,340,230,89,564,137,60,19,8,0
indra/newview/llspatialpartition.cpp,render.pipeline,4192,29,0,0,0,0,206,46,32,44,0,0,0,17,0
indra/newview/llmaniptranslate.cpp,render.pipeline,2322,32,0,0,0,0,196,29,18,10,0,0,1,1,0
indra/newview/llviewerdisplay.cpp,render.pipeline,1954,69,0,0,0,0,129,54,12,63,2,1,1,6,0
indra/newview/llglsandbox.cpp,render.pipeline,1131,33,0,0,0,0,129,24,16,1,0,2,3,0,0
indra/newview/llvoavatar.cpp,render.pipeline,12712,91,0,0,0,0,96,14,6,23,11,0,4,18,0
indra/newview/llnetmap.cpp,assets.texture,1805,38,0,0,0,0,92,1,5,0,0,0,0,1,0
indra/newview/llworldmapview.cpp,render.opengl_touching,1983,31,0,0,0,0,88,2,8,0,0,0,0,0,0
indra/llappearance/lltexlayer.cpp,render.opengl_touching,1977,18,0,0,0,0,85,20,17,0,0,11,0,0,0
indra/newview/llmanipscale.cpp,render.opengl_touching,2080,32,0,0,0,0,78,13,7,0,0,0,0,0,0
